uplift_decile,observations,treated_observations,promotion_rate,average_quantity,average_predicted_uplift,adjusted_observed_uplift
10,370,65,0.17567567567567569,60.52972972972973,46.19632567804403,47.47220800276799
9,370,62,0.16756756756756758,46.456756756756754,36.70227182221535,38.95732965525934
8,370,68,0.1837837837837838,42.556756756756755,31.768377468899143,34.30470509005711
7,370,54,0.14594594594594595,39.84864864864865,28.39929559140325,30.044704699004658
6,370,63,0.17027027027027028,35.75135135135135,25.311308804464957,27.01887802973001
5,370,64,0.17297297297297298,33.28378378378378,22.689855416664507,25.857025490066764
4,370,56,0.15135135135135136,29.63783783783784,19.800483345531465,24.085812646932283
3,370,63,0.17027027027027028,23.983783783783785,16.61258748507462,18.020535928169647
2,370,52,0.14054054054054055,20.95945945945946,14.24483649002908,16.415217130849257
1,370,55,0.14864864864864866,18.754054054054055,11.716227415238796,13.523166026906033
