date,store_id,region,product_id,category,year,month,day_of_week,weekend_flag,holiday_flag,regular_price,selling_price,competitor_price,unit_cost,discount_pct,promotion_flag,promotion_type,promotion_propensity,advertising_spend,supplier_cost_index,shipping_cost_index,weather_index,customer_traffic,inventory_level,stockout_flag,units_sold,revenue,gross_profit,true_price_elasticity
2024-01-01,S001,West,P001,Beverages,2024,1,Monday,0,1,4.29,4.29,4.28,2.12,0.0,0,none,0.23,17.87,1.0024,1.0188,0.5661,1206,71,0,47,201.83,102.41,-1.8
2024-01-01,S001,West,P002,Beverages,2024,1,Monday,0,1,7.16,7.16,6.93,3.22,0.0,0,none,0.23,20.95,1.0024,1.0188,0.5661,1206,52,0,50,357.99,196.81,-2.1
2024-01-01,S001,West,P003,Beverages,2024,1,Monday,0,1,9.84,9.84,9.79,4.63,0.0,0,none,0.23,22.26,1.0024,1.0188,0.5661,1206,55,0,26,255.73,135.26,-2.4
2024-01-01,S001,West,P004,Grocery,2024,1,Monday,0,1,4.2,4.2,4.08,1.76,0.0,0,none,0.2,22.93,1.0024,1.0188,0.5661,1206,120,0,91,382.62,222.2,-1.4
2024-01-01,S001,West,P005,Grocery,2024,1,Monday,0,1,5.49,5.49,5.74,2.57,0.0,0,none,0.2,12.68,1.0024,1.0188,0.5661,1206,54,1,54,296.54,157.83,-1.7
2024-01-01,S001,West,P006,Grocery,2024,1,Monday,0,1,9.28,6.96,9.47,4.33,0.25,1,percentage_discount,0.2,42.6,1.0024,1.0188,0.5661,1206,137,0,119,828.55,313.1,-2.0
2024-01-01,S001,West,P007,Household,2024,1,Monday,0,1,7.64,7.64,8.17,3.83,0.0,0,none,0.2,4.54,1.0024,1.0188,0.5661,1206,37,0,35,267.55,133.57,-1.2
2024-01-01,S001,West,P008,Household,2024,1,Monday,0,1,13.44,10.08,13.88,6.55,0.25,1,percentage_discount,0.2,60.32,1.0024,1.0188,0.5661,1206,52,1,52,524.28,183.8,-1.5
2024-01-01,S001,West,P009,Personal Care,2024,1,Monday,0,1,6.64,6.64,6.59,3.02,0.0,0,none,0.2,19.27,1.0024,1.0188,0.5661,1206,59,0,45,298.99,163.0,-1.3
2024-01-01,S001,West,P010,Personal Care,2024,1,Monday,0,1,10.92,9.83,10.47,5.29,0.1,1,feature_display,0.2,63.17,1.0024,1.0188,0.5661,1206,49,0,34,334.16,154.35,-1.6
